First,Last,Player,Team,Season,Min,Pos,Shots,SoT,Dist,Solo,Goals,xG,xPlace,G.xG,KeyP,Dist.key,Assts,xA,A.xA,xG.xA,xGperShot,xAperPass,GmxGperShot,AmxAperPass
Diego,Valeri,Diego Valeri,POR,2016,2770,A,111,37,24.49174324,0.333333333,14,10.6961711,1.257661604,3.303828895,86,15.70761286,6,9.287889793,-3.287889793,19.9840609,0.096361902,0.107998719,0.029764224,-0.038231277
Clint,Dempsey,Clint Dempsey,SEA,2017,2395,A,116,39,20.34359669,0.25862069,12,14.98478382,-1.709535018,-2.984783823,42,20.63222286,4,4.440399813,-0.440399813,19.42518364,0.129179171,0.105723805,-0.025730895,-0.01048571
Fredy,Montero,Fredy Montero,VAN,2017,2580,F,86,34,17.36777364,0.360465116,13,14.56641963,0.856273122,-1.566419626,36,20.1842212,6,4.543843901,1.456156099,19.11026353,0.169376972,0.126217886,-0.018214182,0.040448781
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2017,2684,F,83,33,15.21271952,0.180722892,17,15.39531789,1.787174874,1.60468211,31,20.93759686,1,3.339178318,-2.339178318,18.73449621,0.185485758,0.10771543,0.019333519,-0.075457365
Sacha,Kljestan,Sacha Kljestan,NYRB,2015,2971,A,58,22,22.70189684,0.465517241,8,9.04194918,-1.174705456,-1.04194918,80,16.98515611,9,9.226235452,-0.226235452,18.26818463,0.155895676,0.115327943,-0.017964641,-0.002827943
Chris,Wondolowski,Chris Wondolowski,SJE,2015,2842,F,91,38,15.51423746,0.274725275,16,15.91646049,0.713907532,0.083539508,19,20.60218498,2,2.302492938,-0.302492938,18.21895343,0.174906159,0.121183839,0.000918017,-0.015920681
Dominic,Dwyer,Dominic Dwyer,SKC,2016,2996,F,118,44,17.77669519,0.194915254,16,15.74805574,1.192585141,0.251944259,21,19.18631328,2,2.437288878,-0.437288878,18.18534462,0.133458099,0.116061375,0.002135121,-0.02082328
Nicolas,Lodeiro,Nicolas Lodeiro,SEA,2017,3111,A,67,19,24.21516767,0.417910448,7,6.90992414,-1.017313956,0.09007586,93,16.46380418,9,11.25462056,-2.254620562,18.1645447,0.103133196,0.121017425,0.001344416,-0.024243232
C.J.,Sapong,C.J. Sapong,PHI,2017,2964,F,67,33,13.35963599,0.223880597,16,14.81450408,1.25422492,1.185495918,30,21.57097365,4,3.240641071,0.759358929,18.05514515,0.221112001,0.108021369,0.017693969,0.025311964
Ignacio,Piatti,Ignacio Piatti,MTL,2016,2976,A,95,42,21.55903373,0.231578947,17,11.34092386,1.84815959,5.659076137,60,20.05148115,4,6.437305211,-2.437305211,17.77822907,0.119378146,0.10728842,0.059569222,-0.040621754
Chris,Wondolowski,Chris Wondolowski,SJE,2016,2851,F,78,31,14.05873426,0.243589744,12,15.22854077,-2.059355068,-3.228540774,22,19.62298116,3,2.494786319,0.505213681,17.72332709,0.195237702,0.113399378,-0.041391548,0.022964258
Kei,Kamara,Kei Kamara,"CLB, NER",2016,2803,F,106,34,15.54638509,0.188679245,12,13.94726472,-2.094230454,-1.947264718,28,19.2043351,2,3.77177576,-1.77177576,17.71904048,0.131577969,0.134706277,-0.018370422,-0.063277706
Jordan,Morris,Jordan Morris,SEA,2016,2975,F,71,34,15.79776092,0.14084507,12,12.94224454,-2.797428568,-0.942244541,31,19.28249835,3,4.485963706,-1.485963706,17.42820825,0.182285134,0.144708507,-0.01327105,-0.047934313
Chris,Wondolowski,Chris Wondolowski,SJE,2017,3188,F,78,28,15.75748376,0.179487179,13,11.32545472,1.384272137,1.674545278,39,18.79997799,8,5.967677765,2.032322235,17.29313249,0.145198137,0.153017379,0.021468529,0.052110827
Robbie,Keane,Robbie Keane,LAG,2015,2172,F,73,38,18.31627129,0.164383562,20,12.48159261,4.884379882,7.518407389,30,17.3485596,7,4.595323431,2.404676569,17.07691604,0.170980721,0.153177448,0.102991882,0.080155886
Fanendo,Adi,Fanendo Adi,POR,2015,2266,F,85,36,15.57139108,0.188235294,16,14.05250291,1.201799617,1.947497087,40,24.51329395,2,3.000175024,-1.000175024,17.05267794,0.165323564,0.075004376,0.02291173,-0.025004376
Romain,Alessandrini,Romain Alessandrini,LAG,2017,2574,A,96,41,25.1730383,0.21875,13,8.451348348,1.027941597,4.548651652,70,12.95918655,11,8.228354652,2.771645348,16.679703,0.088034879,0.117547924,0.047381788,0.039594934
Jozy,Altidore,Jozy Altidore,TOR,2017,2271,F,68,30,16.97076027,0.191176471,15,12.27765836,1.652206707,2.722341645,37,20.85410134,6,4.369392602,1.630607398,16.64705096,0.180553799,0.118091692,0.040034436,0.04407047
Erick,Torres,Erick Torres,HOU,2017,2111,F,72,26,18.54359895,0.347222222,14,13.57813651,-1.236083001,0.421863492,40,22.54075885,3,3.063305439,-0.063305439,16.64144195,0.188585229,0.076582636,0.005859215,-0.001582636
Dominic,Dwyer,Dominic Dwyer,SKC,2015,2691,F,96,37,15.3359972,0.125,12,14.90682328,-0.875577217,-2.906823284,19,26.42160316,0,1.626763909,-1.626763909,16.53358719,0.155279409,0.085619153,-0.030279409,-0.085619153
Benny,Feilhaber,Benny Feilhaber,SKC,2015,2882,M,48,17,24.71827714,0.354166667,10,6.282626795,0.930004191,3.717373205,70,18.34250222,11,9.962509337,1.037490663,16.24513613,0.130888058,0.142321562,0.077445275,0.014821295
Lee,Nguyen,Lee Nguyen,NER,2017,2656,A,49,23,21.75505258,0.285714286,11,8.121043006,1.314372619,2.878956994,87,17.06805879,9,8.046830725,0.953169275,16.16787373,0.165735572,0.092492307,0.058754224,0.010955969
Mauro,Manotas,Mauro Manotas,HOU,2017,2200,F,71,35,17.68018913,0.098591549,10,12.0585549,-0.152229961,-2.058554898,35,22.0390531,5,3.988443055,1.011556945,16.04699795,0.169838801,0.113955516,-0.028993731,0.028901627
Sebastian,Giovinco,Sebastian Giovinco,TOR,2017,2162,F,126,51,25.58628115,0.404761905,16,12.06320684,3.057496872,3.936793164,31,17.7984408,6,3.587547481,2.412452519,15.65075432,0.095739737,0.115727338,0.03124439,0.077821049
Kaka,Kaka,Kaka,ORL,2016,2069,A,62,29,20.06256996,0.387096774,9,9.254031816,1.563857096,-0.254031816,48,17.06219063,9,6.22950291,2.77049709,15.48353473,0.149258578,0.129781311,-0.004097287,0.057718689
Hector,Villalba,Hector Villalba,ATL,2017,2827,A,87,44,22.15280341,0.275862069,13,9.363182557,3.181176644,3.636817443,42,18.91105427,9,6.04650438,2.95349562,15.40968694,0.107622788,0.14396439,0.041802499,0.070321324
Quincy,Amarikwa,Quincy Amarikwa,"CHI, SJE",2015,2302,F,77,24,18.79423067,0.207792208,6,10.47979815,-2.73382087,-4.479798146,38,20.12784532,5,4.832834381,0.167165619,15.31263253,0.136101275,0.127179852,-0.058179197,0.004399095
Joao,Plata,Joao Plata,RSL,2016,2606,F,77,32,19.93918304,0.311688312,9,9.999874493,0.658288362,-0.999874493,59,18.13454359,8,5.305091788,2.694908212,15.30496628,0.1298685,0.08991681,-0.012985383,0.04567641
David,Accam,David Accam,CHI,2017,2250,A,66,36,20.01314478,0.287878788,14,9.629714581,1.322870438,4.370285419,43,16.62089283,6,5.649904476,0.350095524,15.27961906,0.145904766,0.131393127,0.066216446,0.008141756
Clint,Dempsey,Clint Dempsey,SEA,2015,1819,F,61,27,17.42795864,0.327868852,10,10.22057508,0.386185793,-0.220575082,29,18.29453967,9,5.052155003,3.947844997,15.27273009,0.167550411,0.174212241,-0.003615985,0.136132586
Octavio,Rivero,Octavio Rivero,VAN,2015,2898,F,101,41,17.71677372,0.118811881,10,11.9010053,-1.139145384,-1.901005298,39,23.64872461,3,3.321268003,-0.321268003,15.2222733,0.117831736,0.085160718,-0.018821835,-0.008237641
Alberth,Elis,Alberth Elis,HOU,2017,1737,F,71,27,16.73974506,0.056338028,10,9.795201265,0.244520707,0.204798735,24,17.51149668,3,4.900396481,-1.900396481,14.69559775,0.137960581,0.204183187,0.002884489,-0.079183187
Giovani,dos Santos,Giovani dos Santos,LAG,2016,2471,A,63,31,20.53163573,0.317460317,14,8.5391464,4.744260491,5.4608536,42,17.4715468,4,6.02070463,-2.02070463,14.55985103,0.135542006,0.14335011,0.086680216,-0.048112015
Mauro,Diaz,Mauro Diaz,FCD,2015,2043,A,49,17,23.69363761,0.428571429,8,7.074112763,-0.906796349,0.925887237,57,17.44391695,8,7.352996422,0.647003578,14.42710918,0.144369648,0.128999937,0.018895658,0.01135094
Mauro,Diaz,Mauro Diaz,FCD,2016,2254,A,47,14,27.07876381,0.361702128,5,5.149860057,-0.467812353,-0.149860057,77,17.75432403,10,9.275043942,0.724956058,14.424904,0.109571491,0.120455116,-0.003188512,0.009415014
Miguel,Almiron,Miguel Almiron,ATL,2017,2523,A,85,36,23.32344253,0.294117647,9,7.941349067,1.238715986,1.058650933,51,19.49554746,8,6.466060634,1.533939366,14.4074097,0.093427636,0.126785503,0.012454717,0.030077242
Federico,Higuain,Federico Higuain,CLB,2015,2837,A,73,28,22.72920808,0.438356164,8,7.59602557,0.381970723,0.40397443,76,18.25685771,5,6.807486451,-1.807486451,14.40351202,0.104055145,0.08957219,0.005533896,-0.023782716
Sacha,Kljestan,Sacha Kljestan,NYRB,2017,2742,A,41,11,25.32889629,0.390243902,2,2.763072361,0.231921325,-0.763072361,111,15.84690187,9,11.63503092,-2.635030922,14.39810328,0.067392009,0.104820098,-0.018611521,-0.023739017
Kaka,Kaka,Kaka,ORL,2015,2559,A,56,21,22.10453783,0.392857143,9,8.753602126,0.44946188,0.246397874,54,19.22521401,6,5.55194907,0.44805093,14.3055512,0.156314324,0.102813872,0.004399962,0.008297239
Obafemi,Martins,Obafemi Martins,SEA,2015,1906,F,42,28,15.22733983,0.119047619,15,10.4554196,4.53568179,4.544580398,20,17.70956104,4,3.668448117,0.331551883,14.12386772,0.248938562,0.183422406,0.108204295,0.016577594
Josef,Martinez,Josef Martinez,ATL,2017,1588,F,67,30,15.50811945,0.164179104,19,12.90453265,1.650381021,6.095467352,13,21.35193931,1,1.193518924,-0.193518924,14.09805157,0.192604965,0.091809148,0.090977125,-0.014886071
Lee,Nguyen,Lee Nguyen,NER,2016,3048,A,68,29,24.17695711,0.411764706,6,7.238658178,0.122142083,-1.238658178,83,19.0321211,4,6.834400426,-2.834400426,14.0730586,0.106450856,0.082342174,-0.018215561,-0.034149403
Cyle,Larin,Cyle Larin,ORL,2016,2588,F,73,33,15.58846556,0.054794521,14,11.60860576,3.401724172,2.391394236,21,19.5159216,3,2.454146702,0.545853298,14.06275247,0.159021997,0.116864129,0.032758825,0.025993014
Sacha,Kljestan,Sacha Kljestan,NYRB,2016,2770,A,40,19,20.89589338,0.375,6,4.499210794,1.004377551,1.500789206,105,15.83175676,16,9.526993856,6.473006144,14.02620465,0.11248027,0.090733275,0.03751973,0.061647678
